spark.default.parallelism,batchInterval,spark.executor.cores,spark.executor.memory,spark.shuffle.compress,spark.streaming.blockInterval,time
1,1,1,16,False,1,2.904
1,1,1,16,False,1,1.094
1,1,1,16,False,2,0.122
1,1,1,16,False,2,0.121
1,1,1,16,False,2,0.161
1,1,1,16,False,2,0.1
1,1,1,16,False,2,0.119
1,1,1,16,False,2,0.128
1,1,1,16,False,2,0.128
1,1,1,16,False,2,0.133
1,1,1,16,False,2,0.132
1,1,1,16,False,2,0.125
1,1,1,16,False,2,0.162
1,1,1,16,False,2,0.132
1,1,1,16,False,2,0.124
1,1,1,16,False,2,0.17
1,1,1,16,False,2,0.126
1,1,1,16,False,2,0.17
1,1,1,16,False,2,0.131
1,1,1,16,False,2,0.161
1,1,1,16,False,2,0.13
1,1,1,16,False,2,0.124
1,1,1,16,False,2,0.13
1,1,1,16,False,2,0.17
1,1,1,16,False,2,0.194
1,1,1,16,False,2,0.12
1,1,1,16,False,2,0.382
1,1,1,16,False,2,0.246
1,1,1,16,False,2,0.119
1,1,1,16,False,2,0.272
1,1,1,16,False,2,0.128
1,1,1,16,False,2,0.251
1,1,1,16,False,2,0.121
1,1,1,16,False,2,1.052
1,1,1,16,False,2,0.212
1,1,1,16,False,2,0.13
1,1,1,16,False,2,0.292
1,1,1,16,False,2,0.12
1,1,1,16,False,2,0.128
1,1,1,16,False,2,0.176
1,1,1,16,False,2,1.084
1,1,1,16,False,2,0.253
1,1,1,16,False,2,0.123
1,1,1,16,False,2,0.275
1,1,1,16,False,2,0.159
1,1,1,16,False,2,0.129
1,1,1,16,False,2,0.255
1,1,1,16,False,2,0.122
1,1,1,16,False,2,0.695
1,1,1,16,False,2,0.111
1,1,1,16,False,2,1.221
1,1,1,16,False,2,0.128
1,1,1,16,False,2,0.164
1,1,1,16,False,2,0.219
1,1,1,16,False,2,0.134
1,1,1,16,False,2,0.222
1,1,1,16,False,2,0.159
1,1,1,16,False,2,0.131
1,1,1,16,False,2,0.221
1,1,1,16,False,2,0.129
1,1,1,16,False,2,0.475
1,1,1,16,False,2,0.149
1,1,1,16,False,2,1.193
1,1,1,16,False,2,0.15
1,1,1,16,False,2,1.162
1,1,1,16,False,2,0.249
1,1,1,16,False,2,0.124
1,1,1,16,False,2,0.263
1,1,1,16,False,2,0.125
1,1,1,16,False,2,0.475
1,1,1,16,False,2,0.13
1,1,1,16,False,2,1.415
1,1,1,16,False,2,0.239
1,1,1,16,False,2,0.133
1,1,1,16,False,2,0.61
1,1,1,16,False,2,1.069
1,1,1,16,False,2,1.197
1,1,1,16,False,2,0.168
1,1,1,16,False,2,2.152
1,1,1,16,False,2,1.068
1,1,1,16,False,2,0.122
1,1,1,16,False,2,1.309
1,1,1,16,False,2,0.369
1,1,1,16,False,2,0.457
1,1,1,16,False,2,0.21
1,1,1,16,False,2,0.221
1,1,1,16,False,2,1.252
1,1,1,16,False,2,0.14
1,1,1,16,False,2,2.238
1,1,1,16,False,2,0.134
1,1,1,16,False,2,1.27
1,1,1,16,False,2,0.166
1,1,1,16,False,2,0.478
1,1,1,16,False,2,0.49
1,1,1,16,False,2,0.194
1,1,1,16,False,2,2.389
1,1,1,16,False,2,0.246
1,1,1,16,False,2,1.005
1,1,1,16,False,2,2.29
1,1,1,16,False,2,1.374
1,1,1,16,False,2,0.343
1,1,1,16,False,4,0.124
1,1,1,16,False,4,0.123
1,1,1,16,False,4,0.118
1,1,1,16,False,4,0.123
1,1,1,16,False,4,0.14
1,1,1,16,False,4,0.12
1,1,1,16,False,4,1.116
1,1,1,16,False,4,0.121
1,1,1,16,False,4,0.15
1,1,1,16,False,4,0.362
1,1,1,16,False,4,0.136
1,1,1,16,False,4,0.129
1,1,1,16,False,4,0.132
1,1,1,16,False,4,0.129
1,1,1,16,False,4,0.126
1,1,1,16,False,4,0.124
1,1,1,16,False,4,0.129
1,1,1,16,False,4,0.13
